path,name,size_bytes,size_mb,sha1,type,issues,has_issues,is_duplicate
taller\common\css\styles-1.e94768b1.css,styles-1.e94768b1.css,49379,0.05,e0c94c0bff57d9177cab1718265cfd55822b62c4,CSS,,False,False
taller\common\css\styles.bc7ecf2a.css,styles.bc7ecf2a.css,30,0.0,76ff3fc273e59c8d95611c046755adf228cb9ca9,CSS,,False,False
taller\common\css\tailwind.min.641f6c45.css,tailwind.min.641f6c45.css,68,0.0,53a3c48656e13d828c24f17b76a301e849ef8ad2,CSS,,False,False
taller\common\css\tailwind.output.afb4eb46.css,tailwind.output.afb4eb46.css,49348,0.05,8cd5d0483a18989bdc7593115103ff2ada2beac1,CSS,,False,False
taller\common\img\app_laptop.a13819b5.png,app_laptop.a13819b5.png,14149,0.01,864662ccb66f0008664215cdecfdbf1f5aae1753,IMG,,False,False
taller\common\img\app_mobile.d6e39b33.png,app_mobile.d6e39b33.png,15013,0.01,4a6c42e705528a8233f0fd8213477afe6ae03f62,IMG,,False,False
taller\common\img\carlos.aa38530f.png,carlos.aa38530f.png,378,0.0,efac1437c28a67ecad8ac81f698fde0768e05f50,IMG,,False,False
taller\common\img\cl.a9890613.svg,cl.a9890613.svg,564,0.0,e2e66345008ce727f8efada3d1faec4cbb01a122,IMG,,False,False
taller\common\img\diego.4722dad5.png,diego.4722dad5.png,378,0.0,0d0ff4dd6b20293a180df2fa899b0c3afd80d1d2,IMG,,False,False
taller\common\img\egarage-logo-1.885bfc56.svg,egarage-logo-1.885bfc56.svg,2275,0.0,69140d8d41947877b2574050860627aa0b9602e7,IMG,,False,False
taller\common\img\egarage-logo-simple.1884a8f7.svg,egarage-logo-simple.1884a8f7.svg,1711,0.0,33f58488a094b5934b202a93cddf74325c9b3fa0,IMG,,False,False
taller\common\img\egarage-logo.ea7113e9.svg,egarage-logo.ea7113e9.svg,535,0.0,2055dda2b3fc5555eac90bc8d5ebbf9d6ea9c405,IMG,,False,False
taller\common\img\egarage-simple.8d8d5b80.svg,egarage-simple.8d8d5b80.svg,1127,0.0,3c80950431c128f47d667aa22809b2d444e5781d,IMG,,False,False
taller\common\img\egarage_default_logo.b996e53b.svg,egarage_default_logo.b996e53b.svg,788,0.0,45d92c0505726c1d5eb4f732b7cd1efc157979de,IMG,,False,False
taller\common\img\fondo_tecnologico.11721883.jpg,fondo_tecnologico.11721883.jpg,347084,0.33,018b9059b157168228300df02e890afeca1b7c9e,IMG,,False,False
taller\common\img\galaxy.26af43b2.png,galaxy.26af43b2.png,1067644,1.02,1598ccc577a90be228cf1fc7476e0d5208f42a33,IMG,,False,False
taller\common\img\galaxy_2.779faddd.png,galaxy_2.779faddd.png,1939776,1.85,5a0dfb4b079b38162a3a4523b59d80d9c6ca002a,IMG,,False,False
taller\common\img\logo.0cb29bde.png,logo.0cb29bde.png,2323176,2.22,2548eefb051190871504f08912dadd09156aff6b,IMG,,False,False
taller\common\img\logo_footer.37e4c3f4.svg,logo_footer.37e4c3f4.svg,741,0.0,21bc75d1350c29b7629dd9fead87e73c9d5f5507,IMG,,False,False
taller\common\img\logo_footer.bdc88970.png,logo_footer.bdc88970.png,23911,0.02,721c0e5d1d9e5f2846b1e9ff40b7aec86e144450,IMG,,False,False
taller\common\img\logo_footer_animated.48e6308f.svg,logo_footer_animated.48e6308f.svg,1073,0.0,a1ba289b0593722638e007bda192fe85c836aa0f,IMG,,False,False
taller\common\img\paula.04bde7c0.png,paula.04bde7c0.png,378,0.0,d7cd22ecf21c5ac691f5de462501af96e736312b,IMG,,False,False
taller\common\img\stars_twinkling.deaf9885.svg,stars_twinkling.deaf9885.svg,9783,0.01,a24661e138cf00391f30be8e94cb57ce568bb521,IMG,,False,False
taller\common\js\ajax-helpers.2963e8e2.js,ajax-helpers.2963e8e2.js,3275,0.0,8e01027337014b5f2dbed9fde94be652ddbd528b,JS,,False,False
taller\common\js\autocomplete_light.91fcdda6.js,autocomplete_light.91fcdda6.js,446,0.0,707952a2f43ae0469ddaf7ab567a9b319c37e8f5,JS,,False,False
taller\common\js\clientes-chart.390462ba.js,clientes-chart.390462ba.js,3705,0.0,81cbced5f70f94e0d487d13ce77ab991517e2ddb,JS,,False,False
taller\common\js\documentos_form_enhanced.3925c684.js,documentos_form_enhanced.3925c684.js,60036,0.06,f924104e379b57ec4b24241cf48205f97da23945,JS,,False,False
taller\common\js\documentos_form_final.9b337ae4.js,documentos_form_final.9b337ae4.js,13029,0.01,3e18183c539814d2d6294f1328b711534c4e518a,JS,,False,False
taller\common\js\documentos_form_new.ddc7a38e.js,documentos_form_new.ddc7a38e.js,5354,0.01,0216dce2bfa9a19b29f99267d7ecc68fa25c8b0c,JS,,False,False
taller\common\js\documentos_form_numbers.5b6b1df0.js,documentos_form_numbers.5b6b1df0.js,5693,0.01,a76b9e398b89d94760e0c2d82019481060b2360d,JS,,False,False
taller\common\js\documentos_form_patch.dda4d38d.js,documentos_form_patch.dda4d38d.js,9852,0.01,d69772c1f166f528861cf329024f57f1d2d9cf26,JS,,False,False
taller\common\js\documentos_form_v8.09ba7993.js,documentos_form_v8.09ba7993.js,5173,0.0,71f4717644109c1ecfb8b1a32864bf38d81c5b70,JS,,False,False
taller\common\js\documento_form_advanced.37409a73.js,documento_form_advanced.37409a73.js,25619,0.02,8f4bf94e3fb6caa813cac4d3f001aebdc8d4810f,JS,,False,False
taller\common\js\documento_form_futurista.41d935d3.js,documento_form_futurista.41d935d3.js,33315,0.03,63648b7fcce3a5685648d329edaba31160c537b5,JS,,False,False
taller\common\js\dynamic_effects.c61e2f90.js,dynamic_effects.c61e2f90.js,9712,0.01,e900a41903b985a731946d20e7b5f88b4e57c87e,JS,,False,False
taller\common\js\es.ce7f151c.js,es.ce7f151c.js,941,0.0,9436bbea225a1a4d9c0d7a1c06a159367580b574,JS,,False,False
taller\common\js\formulario_documento.f8cbd4aa.js,formulario_documento.f8cbd4aa.js,26672,0.03,6032c5b976cc1e853c358e6bba8f3447f69693ca,JS,,False,False
taller\common\js\formulario_jerarquico.d08ac069.js,formulario_jerarquico.d08ac069.js,3619,0.0,27b95fcd93a68bf16f08088fb5f272702e91a550,JS,,False,False
taller\common\js\formulario_vehiculo.55b68118.js,formulario_vehiculo.55b68118.js,1367,0.0,f3faa04840beac9d3c3c2da2157a67517127d59d,JS,,False,False
taller\common\js\forward.6c5f2f43.js,forward.6c5f2f43.js,54,0.0,cdef9b0bd39200223cbba8e51ee829bdc1b6db99,JS,,False,False
taller\common\js\image_preview_simple.9181cc87.js,image_preview_simple.9181cc87.js,4834,0.0,650c276a9d4fea2d0ed173ce91b34b19b0d1ac09,JS,,False,False
taller\common\js\integracion_totales.89ad8bec.js,integracion_totales.89ad8bec.js,3524,0.0,7d884bd980952450ad97dabc2ecdfeb5290bf258,JS,,False,False
taller\common\js\landing_cl.45aae512.js,landing_cl.45aae512.js,6277,0.01,be92add9cf06cc861f57889fc0b41d129d9ea56a,JS,,False,False
taller\common\js\login_effects.511cb6cf.js,login_effects.511cb6cf.js,3115,0.0,77442c546321367d138e18ba9d99c0ea04a98ad9,JS,,False,False
taller\common\js\navbar.555afe77.js,navbar.555afe77.js,927,0.0,4bba2d3c4803b939f211aaac7e159144f8fced9a,JS,,False,False
taller\common\js\repuestos_form.e2b99828.js,repuestos_form.e2b99828.js,194,0.0,9db194a5e84667eaae5735124ce8ec4683bbc066,JS,,False,False
taller\common\js\simple_buttons.4a3424ae.js,simple_buttons.4a3424ae.js,5700,0.01,cdfabbcb689fb1a1da65ea785d320952a9bf0ce0,JS,,False,False
taller\common\js\starfield.dc4184e0.js,starfield.dc4184e0.js,2240,0.0,ed949f1ef18017dee0beb3c9abddea1ccd4c60cb,JS,,False,False
taller\common\js\tailwind.config-1.161f58db.js,tailwind.config-1.161f58db.js,1110,0.0,82f21edf012ca5e929b2ffc3bf0058c4d60dba4c,JS,,False,False
taller\common\js\tailwind.config.20827d8d.js,tailwind.config.20827d8d.js,150,0.0,5a75bf97263f22192352133be25bff0556072011,JS,,False,False
taller\common\js\totales.1c0843aa.js,totales.1c0843aa.js,4026,0.0,37dbfb167550e278ff1b1a7e913a8bf20535eb0e,JS,,False,False
taller\common\js\widget.8c4e4b3b.js,widget.8c4e4b3b.js,50,0.0,c310a0d0291fe9ec18fe23a303a462740034da68,JS,,False,False
taller\common\media\app.vue,app.vue,2482,0.0,19f0412b4c42e8822b3181f70ad115b1d84e6d7e,OTHER,,False,False
taller\common\media\debug_autocomplete_cliente.html,debug_autocomplete_cliente.html,1872,0.0,a62bcabc06e400160364a3d621c5ad52c7a81788,OTHER,,False,False
taller\common\media\index.html,index.html,30,0.0,7feae962c3fe844bcfb947f72b6719d0a4167d15,OTHER,,False,False
taller\common\media\readme_patch.md,readme_patch.md,7576,0.01,cdc2c771cffa3ad45279628d7a44ab7909fa013a,OTHER,,False,False
taller\common\media\tallerpro.mp4,tallerpro.mp4,1928674,1.84,9b4c5d6db0e9f18d961cfaf95a8bf13b65d982f5,VIDEO,,False,False
taller\common\media\tallerpro_matrix_scan.mp4,tallerpro_matrix_scan.mp4,1402891,1.34,769ac6d95b424a9ed20eee8c7a8011849f9d5721,VIDEO,,False,False
js\vendor\jquery.min.c0338651.js,jquery.min.c0338651.js,80,0.0,47d2fc18ae8e4c61232d89545a500cb97bfeb2bc,JS,,False,True
